model,accuracy,precision_spam,recall_spam,f1_spam,f1_macro,false_positives,false_negatives,training_time_seconds,inference_time_ms_mean
Logistic Regression,0.9814995131450828,0.9097744360902256,0.9453125,0.9272030651340997,0.9583031499680537,12,7,0.059991541027557105,0.007966049999724565
Linear SVM,0.9863680623174295,0.9523809523809523,0.9375,0.9448818897637795,0.9685520559930009,6,8,0.0576897090068087,0.007525391478765712
Random Forest,0.9776046738072055,0.92,0.8984375,0.9090909090909091,0.9481601130684973,10,13,0.386159834015416,0.03288987546177769
